"url","Name","Name_link","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","100 Thieves","https://gol.gg/teams/team-stats/594/split-ALL/tournament-LCS%20Spring%202019/","25.0%","0.75","1705","-130","36:38","7.8","10.3","4.8","7.9","31.3","43.8","2.00","38.4","0.44","43.8","0.63","0.0","-372","0.63","28.6","33.4","1517","3.4","1.24","1.47"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","CLG","https://gol.gg/teams/team-stats/597/split-ALL/tournament-LCS%20Spring%202019/","37.5%","0.72","1693","-130","36:26","7.0","9.8","5.1","7.6","56.3","37.5","1.75","31.0","0.25","25.0","0.56","-0.9","-1215","0.63","34.4","33.1","1534","3.3","1.36","1.40"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","Cloud9","https://gol.gg/teams/team-stats/595/split-ALL/tournament-LCS%20Spring%202019/","75.0%","1.42","1838","156","34:40","13.8","9.8","7.8","4.4","56.3","62.5","2.38","52.8","0.63","71.4","0.88","0.3","268","0.88","71.9","32.4","2153","3.1","1.38","1.32"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","Clutch Gaming","https://gol.gg/teams/team-stats/596/split-ALL/tournament-LCS%20Spring%202019/","31.3%","0.86","1753","-59","37:01","10.9","12.8","5.4","7.6","68.8","37.5","1.75","38.0","0.44","50.0","0.69","0.0","-272","0.44","33.3","33.3","1807","3.7","1.43","1.40"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","Echo Fox","https://gol.gg/teams/team-stats/598/split-ALL/tournament-LCS%20Spring%202019/","37.5%","0.85","1738","-67","34:55","9.4","11.1","4.6","7.3","31.3","56.3","2.50","47.8","0.31","33.3","0.88","0.1","90","0.56","37.5","33.2","1791","3.0","1.03","1.40"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","FlyQuest","https://gol.gg/teams/team-stats/599/split-ALL/tournament-LCS%20Spring%202019/","56.3%","1.13","1815","53","36:31","10.7","9.4","6.8","5.6","62.5","50.0","2.44","53.7","0.44","43.8","0.88","0.2","736","0.75","59.4","34.3","1619","3.3","1.25","1.41"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","Golden Guardians","https://gol.gg/teams/team-stats/600/split-ALL/tournament-LCS%20Spring%202019/","43.8%","0.84","1747","-63","35:48","9.9","11.9","5.6","7.5","50.0","43.8","2.69","51.1","0.44","43.8","1.06","-0.3","32","0.63","41.7","33.1","1898","3.4","1.18","1.47"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","OpTic Gaming","https://gol.gg/teams/team-stats/601/split-ALL/tournament-LCS%20Spring%202019/","37.5%","0.69","1721","-99","36:34","8.7","12.6","5.8","7.3","62.5","37.5","2.25","45.5","0.56","60.0","0.94","-0.1","-468","0.94","51.1","32.4","1697","3.5","1.43","1.48"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","Team Liquid","https://gol.gg/teams/team-stats/602/split-ALL/tournament-LCS%20Spring%202019/","87.5%","2.06","1884","244","35:30","14.1","6.8","9.1","3.2","31.3","68.8","3.56","78.0","0.56","60.0","1.06","0.1","677","0.94","80.0","34.7","2110","3.3","1.17","1.46"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCS%20Spring%202019/week-ALL/","TSM","https://gol.gg/teams/team-stats/603/split-ALL/tournament-LCS%20Spring%202019/","68.8%","1.21","1826","96","39:03","12.1","10.0","8.9","5.4","50.0","62.5","3.00","63.6","0.69","73.3","0.69","0.6","525","1.25","64.1","33.3","1966","3.3","1.34","1.41"
