"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Excel eSports","https://gol.gg/teams/team-stats/622/split-ALL/tournament-LEC%20Spring%202019/","18","27.8%","0.88","1707","-151","10.1","11.5","4.8","7.7","44.4","50.0","1.72","43.7","0.72","72.2","0.61","-0.4","-732","0.61","38.9","31.8","1528","3.4","1.39","1.29"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","FC Schalke 04","https://gol.gg/teams/team-stats/623/split-ALL/tournament-LEC%20Spring%202019/","19","47.4%","0.97","1805","-16","10.0","10.3","5.5","5.8","42.1","52.6","1.79","43.2","0.32","33.3","0.63","-0.3","-258","0.84","52.8","34.2","1681","3.6","1.30","1.42"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Fnatic","https://gol.gg/teams/team-stats/624/split-ALL/tournament-LEC%20Spring%202019/","18","61.1%","1.22","1832","65","11.8","9.7","6.7","5.5","66.7","55.6","2.17","61.7","0.50","50.0","0.56","0.2","528","0.83","57.6","33.3","1734","3.0","1.20","1.45"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","G2 Esports","https://gol.gg/teams/team-stats/625/split-ALL/tournament-LEC%20Spring%202019/","18","72.2%","1.40","1947","232","17.2","12.3","8.1","4.2","50.0","55.6","1.89","61.1","0.61","61.1","0.50","0.4","1086","0.56","53.6","33.7","2147","3.8","1.28","1.40"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Misfits","https://gol.gg/teams/team-stats/626/split-ALL/tournament-LEC%20Spring%202019/","18","44.4%","0.86","1781","-46","10.7","12.4","6.3","6.4","50.0","72.2","2.50","60.6","0.61","61.1","0.94","0.6","421","0.94","41.7","32.6","1652","3.4","1.48","1.27"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Origen","https://gol.gg/teams/team-stats/627/split-ALL/tournament-LEC%20Spring%202019/","18","66.7%","1.27","1827","92","10.9","8.6","7.1","4.9","61.1","50.0","2.72","69.9","0.50","50.0","1.11","0.2","588","0.72","68.8","33.7","1613","3.2","1.39","1.33"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Rogue","https://gol.gg/teams/team-stats/628/split-ALL/tournament-LEC%20Spring%202019/","18","11.1%","0.58","1641","-290","8.1","14.0","3.1","9.2","27.8","16.7","1.33","27.9","0.33","33.3","0.61","-1.1","-2194","0.22","17.8","31.7","1455","3.3","1.19","1.12"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","SK Gaming","https://gol.gg/teams/team-stats/629/split-ALL/tournament-LEC%20Spring%202019/","19","52.6%","0.82","1795","-13","11.2","13.7","5.9","5.9","42.1","57.9","1.68","41.3","0.47","50.0","0.61","0.2","-342","0.68","59.4","32.7","1759","3.1","1.18","1.27"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Splyce","https://gol.gg/teams/team-stats/630/split-ALL/tournament-LEC%20Spring%202019/","18","61.1%","1.19","1854","66","14.2","11.9","7.1","6.4","72.2","33.3","2.33","50.7","0.22","25.0","0.47","0.1","445","0.89","54.9","33.8","1779","3.5","1.42","1.56"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LEC%20Spring%202019/week-ALL/","Team Vitality","https://gol.gg/teams/team-stats/631/split-ALL/tournament-LEC%20Spring%202019/","18","55.6%","1.03","1839","61","11.6","11.2","6.7","5.4","38.9","50.0","1.28","40.6","0.61","61.1","0.44","0.2","496","0.67","54.2","33.5","1760","3.5","1.24","1.35"
