"url","Blue Side","Blue Side_link","Score","Score_link","Red Side","Red Side_link","date"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","SK Telecom T1","","","","Jin Air Green Wings","","28-03-2019 3AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Gen.G eSports","","","","DAMWON Gaming","","28-03-2019 6AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Hanwha Life eSports","","","","KT Rolster","","29-03-2019 3AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Kingzone DragonX","","","","Griffin","","29-03-2019 6AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Fnatic","","","","Team Vitality","","29-03-2019 12PM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Gen.G eSports","","","","Sandbox Gaming","","30-03-2019 3AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","SK Telecom T1","","","","Afreeca Freecs","","30-03-2019 6AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","SK Gaming","","","","Splyce","","30-03-2019 11AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","FlyQuest","","","","Golden Guardians","","30-03-2019 4PM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Jin Air Green Wings","","","","Griffin","","31-03-2019 3AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","DAMWON Gaming","","","","KT Rolster","","31-03-2019 6AM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","TSM","","","","Echo Fox","","31-03-2019 2PM"
"https://watch.na.loleSports.com/schedule?leagues=lcs,lec,lck","Origen","","","","G2 Esports","","06-04-2019 11AM"

